query,response
What is covered under the motor insurance policy?,"You can 
find this on your certificate of motor insurance
and car insurance details.
Policy The policy is made up of:
>This booklet.
>Your car insurance details.
>Your certificate (or certificates) of motor 
insurance.
>The Green Flag breakdown cover policy 
booklet – where this applies"
How can I make a claim?,"
The helpline doesn’t advise on any claim you 
make under your car insurance policy"
What is the policy renewal process?,"
You can see the details we have on your car insurance details.
These changes may mean we need to increase or reduce the premium, or in some cases cancel your policy.
Page 37How the policy works
How the policy worksBefore renewal 
You must tell us about any incident or motoring 
offence that’s happened since your cover started"
What documents are required to make a claim?,"We may also require an insured person to repay us 
any amounts that we are required by law to pay"
What are the exclusions of the policy?,"
Your cover to drive the hire car is restricted 
to the limits on use and exclusions shown 
on your certificate of motor insurance, 
and in the terms of your policy"
What is the contact information for customer support?,"
Our staff will do everything they can to support 
you"
What is the process for adding a driver to the policy?,"
>If your car has a folding roof, we’ll replace the 
roof and rear windscreen assembly together, if this is more cost-effective than replacing the glass alone.How much am I covered for?
We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
You’re not covered for
8Any other losses covered under another section of this policy for the same incident, 
such as dents to the bodywork.
8Damage caused by vandalism (this may 
be covered under Section 4: Accidental Damage).
If your claim is only for accidental damage to your car’s windscreen, sunroof or windows, you won’t lose the No Claim Discount on this policy.
You’ll need to pay an excess for each 
incident you claim for.Section 5: Windscreen damage
Page 20Section 6: Personal benefits
Personal benefits 
The additional cover you have as part of 
your car insurance.
If you’re on:
Essentials
Comprehensive
Comprehensive Plus
the cover in this section depends on the type of insurance you have.
This cover is not included with: 
Third Party, Fire and Theft
Uninsured Driver Promise
Included with:
Essential Comp Comp+
If you claim for an accident that isn’t your fault, 
and the driver of the vehicle that hits your car is 
uninsured, the No Claim Discount on this policy
will not be affected and you will not need to pay an excess.
What we need from you
If this happens, you’ll need to give us:
>The registration number, make and model 
of the vehicle that hit you.
>The driver’s details, if possible.
>The names and addresses of any independent witnesses, if available"
How can I cancel my policy?,"This applies whether we cancel the policy or you cancel it.
If we need to cancel the policy 
>We can cancel the policy at any time if we 
have a valid reason"
What is the process for changing my vehicle details?,"
Changing your policy
You can make a temporary or permanent change to the policy at any time during the 
year"
Are there any discounts available for safe drivers?,"
If your car is written off, or is stolen and not recovered
We’ll provide you with a hire car for whichever is 
shortest of these two periods: 
>Up to 21 days in a row.
>Up to 5 days after our first (or only) payment 
has been issued to settle your claim.Section 8: Guaranteed Hire Car PlusPage 29Section 8: Guaranteed Hire Car Plus
If we cannot provide you with a hire car
If we cannot provide you with a hire car
because any of the following applies, we’ll 
repay your travel costs up to £50 per day, up to a total of £500 per claim if:
>You’re injured during the accident in a way 
that prevents you from driving.
>Your car has been professionally adapted to carry a disabled driver or passenger, and a suitable hire car is not available.
>There are no hire cars available, and no alternative cars are available for hire.
You can use this benefit any time in the 21 days following your claim"
